action_ind,action_sub,action_sub_code,action_sub_data,env_ind,env_sub,env_sub_code,env_sub_data,DriverType.x,ExpertSuggestion
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,
