action_ind,action_sub,action_sub_code,action_sub_data,env_ind,env_sub,env_sub_code,env_sub_data,DriverType.x,ExpertSuggestion,num_obs,rho,rsq,mod_coef,mod_p_value,cor_p_value,cor_sig,mod_sig
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,1046,-0.247,0.693,0.164,0.0036,0,TRUE,TRUE
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,454,0.127,0.678,-0.024,0.1894,0.0069,TRUE,FALSE
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,454,0.017,0.695,-0.132,0,0.7141,FALSE,TRUE
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,336,0.237,0.644,-0.007,0.8587,0,TRUE,FALSE
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,395,-0.004,0.696,-0.273,0,0.9364,FALSE,TRUE
7.1.2,Proportion of population with primary reliance on clean fuels and technology (%),EG_EGY_CLEAN,188,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,2038,-0.037,0.697,2.044,0,0.0955,FALSE,TRUE
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,1780,0.212,0.501,-0.864,0,0,TRUE,TRUE
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,792,-0.006,0.513,0.244,0,0.8594,FALSE,TRUE
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,792,0.12,0.5,0.281,0,7e-4,TRUE,TRUE
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,595,-0.266,0.332,0.037,0.5665,0,TRUE,FALSE
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,645,0.046,0.397,0.143,0.0054,0.2416,FALSE,TRUE
7.2.1,Renewable energy share in the total final energy consumption (%),EG_FEC_RNEW,191,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct Drivers: Pollution: Emissions into the atmosphere. Direct Drivers: Resource Extraction,NA,3595,0.045,0.468,-0.756,0.0025,0.0064,TRUE,TRUE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Tourism (intensive and nature-based),Y,471,-0.037,0.117,0.034,0.204,0.4255,FALSE,FALSE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Tourism (intensive and nature-based),Y,471,-0.197,0.145,-0.066,0,0,TRUE,TRUE
