"iso3c","TimePeriod","GDP","indicatorID","indicator","iso2c","country","GeoAreaCode","region","sub_region"
"ARB",2017,2587031.9,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2016,2511031.3,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2015,2558415.1,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2014,2909487.5,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2013,2868394,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2012,2787426.4,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2011,2502151.3,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2010,2110311.4,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2009,1796612.3,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2008,2078883,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2007,1638461,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2006,1404872.1,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2005,1185325.9,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2004,964490.3,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2003,823491.4,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2002,729327.1,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2001,723573.3,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"ARB",2000,735306.7,"NY.GDP.MKTP.CD","GDP (current US$)","1A","Arab World",NA,NA,NA
"CSS",2017,69602.2,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2016,68106.4,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2015,71648.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2014,72989.1,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2013,72051,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2012,70684.6,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2011,68420.4,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2010,63277.1,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2009,58164.5,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2008,69109.7,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2007,60908.4,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2006,54606.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2005,48878.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2004,43222.1,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2003,39498.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2002,36957.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2001,35220.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CSS",2000,34177.9,"NY.GDP.MKTP.CD","GDP (current US$)","S3","Caribbean small states",NA,NA,NA
"CEB",2017,1457183.7,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2016,1317002.6,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2015,1289640.6,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2014,1465593.8,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2013,1422731.7,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2012,1352671.8,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2011,1446680.3,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2010,1313429.2,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2009,1288240.8,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2008,1530584.2,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2007,1264978.5,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2006,1001252.1,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2005,884987.9,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2004,761645.9,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2003,632781.2,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2002,527159.6,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2001,467920.1,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"CEB",2000,427456,"NY.GDP.MKTP.CD","GDP (current US$)","B8","Central Europe and the Baltics",NA,NA,NA
"EAR",2017,11376182.1,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2016,10517566.7,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2015,10281729.1,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2014,10596688.7,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2013,10242454.7,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2012,10058471.6,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2011,9593451.3,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2010,8554823.2,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2009,7037854.1,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2008,7308302.4,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2007,6487600,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2006,5471166.1,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2005,4773626.6,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2004,4094787.5,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2003,3524903.6,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2002,3168805.8,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2001,3263213.2,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAR",2000,3295459.3,"NY.GDP.MKTP.CD","GDP (current US$)","V2","Early-demographic dividend",NA,NA,NA
"EAS",2017,23931628.1,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2016,22462037.7,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2015,21760132.7,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2014,21878683.6,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2013,21240955.2,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2012,21004328.1,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2011,19626276,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2010,16930094.4,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2009,14522335.2,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2008,14095943.7,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2007,12206142.2,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2006,10913364.3,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2005,10291099.3,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2004,9645451.7,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2003,8601279.7,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2002,7823605.8,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2001,7701415,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAS",2000,8280514.2,"NY.GDP.MKTP.CD","GDP (current US$)","Z4","East Asia & Pacific",NA,NA,NA
"EAP",2017,14650156.2,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2016,13461594.4,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2015,13226603.5,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2014,12711439.4,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2013,11823493.4,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2012,10715768.1,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2011,9610144.5,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2010,7865862.8,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2009,6488256.2,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2008,5983891.6,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2007,4728577.5,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2006,3740115,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2005,3105728,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2004,2681477.6,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2003,2312682.5,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2002,2043236.9,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2001,1846109.8,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"EAP",2000,1735111.1,"NY.GDP.MKTP.CD","GDP (current US$)","4E","East Asia & Pacific (excluding high income)",NA,NA,NA
"TEA",2017,14622090,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2016,13435743.4,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2015,13201168.8,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2014,12686962.3,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2013,11800679.6,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2012,10695037.3,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2011,9591560,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2010,7850570.7,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2009,6475471.4,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2008,5972191.9,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2007,4719295.2,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2006,3732723.4,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2005,3099526.6,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2004,2676051.2,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2003,2307928.5,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2002,2039015.6,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2001,1842305.2,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"TEA",2000,1731534.1,"NY.GDP.MKTP.CD","GDP (current US$)","T4","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA
"EMU",2017,12622305.9,"NY.GDP.MKTP.CD","GDP (current US$)","XC","Euro area",NA,NA,NA
"EMU",2016,11965226.5,"NY.GDP.MKTP.CD","GDP (current US$)","XC","Euro area",NA,NA,NA
"EMU",2015,11672316.8,"NY.GDP.MKTP.CD","GDP (current US$)","XC","Euro area",NA,NA,NA
"EMU",2014,13490148.1,"NY.GDP.MKTP.CD","GDP (current US$)","XC","Euro area",NA,NA,NA
